epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.3508,1.88141,0.45283,0.91509,1.604,0.00326531,0.00326531,0.00326531
2,10.8509,1.5054,0.5566,0.9717,1.2301,0.00659211,0.00659211,0.00659211
3,14.6707,1.16982,0.67925,0.99057,0.92944,0.00991231,0.00991231,0.00991231
4,18.3315,0.93516,0.71698,1,0.77356,0.0099703,0.0099703,0.0099703
5,22.1137,0.72414,0.69811,0.99057,0.84021,0.0099604,0.0099604,0.0099604
6,25.6761,0.63185,0.79245,0.99057,0.48798,0.0099505,0.0099505,0.0099505
7,29.3786,0.57878,0.85849,1,0.39862,0.0099406,0.0099406,0.0099406
8,33.1018,0.53194,0.72642,1,0.54919,0.0099307,0.0099307,0.0099307
9,36.7818,0.44133,0.87736,1,0.36377,0.0099208,0.0099208,0.0099208
10,40.5015,0.40691,0.83962,1,0.50909,0.0099109,0.0099109,0.0099109
11,44.1923,0.36931,0.89623,1,0.30209,0.009901,0.009901,0.009901
12,47.9538,0.31582,0.88679,1,0.30035,0.0098911,0.0098911,0.0098911
13,51.681,0.36349,0.90566,1,0.27205,0.0098812,0.0098812,0.0098812
14,55.4199,0.3892,0.89623,1,0.37294,0.0098713,0.0098713,0.0098713
15,59.1132,0.34786,0.84906,1,0.62726,0.0098614,0.0098614,0.0098614
16,62.868,0.32754,0.91509,1,0.25972,0.0098515,0.0098515,0.0098515
17,66.637,0.35606,0.92453,1,0.1939,0.0098416,0.0098416,0.0098416
18,70.3863,0.37084,0.89623,1,0.25215,0.0098317,0.0098317,0.0098317
19,74.1487,0.34941,0.90566,1,0.35989,0.0098218,0.0098218,0.0098218
20,77.7959,0.28143,0.9434,1,0.23046,0.0098119,0.0098119,0.0098119
21,81.5942,0.2578,0.84906,1,0.36826,0.009802,0.009802,0.009802
22,85.2461,0.25791,0.90566,1,0.30626,0.0097921,0.0097921,0.0097921
23,89.0102,0.32619,0.86792,0.99057,0.63536,0.0097822,0.0097822,0.0097822
24,92.6861,0.27603,0.91509,1,0.30086,0.0097723,0.0097723,0.0097723
25,96.4252,0.27997,0.87736,1,0.53787,0.0097624,0.0097624,0.0097624
26,100.039,0.22368,0.91509,1,0.36322,0.0097525,0.0097525,0.0097525
27,103.746,0.28411,0.90566,0.99057,0.28607,0.0097426,0.0097426,0.0097426
28,107.468,0.27825,0.9434,1,0.14905,0.0097327,0.0097327,0.0097327
29,111.181,0.22427,0.92453,0.99057,0.25873,0.0097228,0.0097228,0.0097228
30,114.882,0.2177,0.9434,0.99057,0.23493,0.0097129,0.0097129,0.0097129
31,118.56,0.2132,0.9434,1,0.35324,0.009703,0.009703,0.009703
32,122.468,0.20868,0.96226,1,0.12884,0.0096931,0.0096931,0.0096931
33,126.204,0.1841,0.9434,1,0.13842,0.0096832,0.0096832,0.0096832
34,129.902,0.20733,0.93396,1,0.25626,0.0096733,0.0096733,0.0096733
35,133.568,0.19087,0.92453,1,0.38232,0.0096634,0.0096634,0.0096634
36,137.226,0.2455,0.89623,1,0.41422,0.0096535,0.0096535,0.0096535
37,141.055,0.19728,0.90566,1,0.31957,0.0096436,0.0096436,0.0096436
38,144.796,0.21754,0.92453,1,0.26935,0.0096337,0.0096337,0.0096337
39,148.57,0.16393,0.9434,1,0.57799,0.0096238,0.0096238,0.0096238
40,152.344,0.18009,0.92453,1,0.28336,0.0096139,0.0096139,0.0096139
41,156.148,0.13199,0.96226,1,0.09955,0.009604,0.009604,0.009604
42,159.857,0.15258,0.96226,1,0.09047,0.0095941,0.0095941,0.0095941
43,163.559,0.15436,0.90566,1,0.29996,0.0095842,0.0095842,0.0095842
44,167.313,0.19021,0.90566,1,0.21548,0.0095743,0.0095743,0.0095743
45,171.099,0.1683,0.90566,1,0.42065,0.0095644,0.0095644,0.0095644
46,174.824,0.17515,0.91509,1,0.25391,0.0095545,0.0095545,0.0095545
47,178.584,0.20181,0.93396,1,0.21207,0.0095446,0.0095446,0.0095446
48,182.308,0.13991,0.95283,1,0.16461,0.0095347,0.0095347,0.0095347
49,186.065,0.1564,0.92453,1,0.19054,0.0095248,0.0095248,0.0095248
50,189.834,0.15315,0.91509,1,0.5921,0.0095149,0.0095149,0.0095149
51,193.477,0.14397,0.95283,1,0.1925,0.009505,0.009505,0.009505
52,197.128,0.12825,0.9434,1,0.22342,0.0094951,0.0094951,0.0094951
53,200.956,0.12056,0.92453,1,0.335,0.0094852,0.0094852,0.0094852
54,204.722,0.11405,0.90566,1,0.23501,0.0094753,0.0094753,0.0094753
55,208.39,0.10113,0.9434,1,0.30966,0.0094654,0.0094654,0.0094654
56,212.153,0.10828,0.95283,1,0.27565,0.0094555,0.0094555,0.0094555
57,215.913,0.1161,0.90566,1,0.27503,0.0094456,0.0094456,0.0094456
58,219.658,0.14303,0.9434,1,0.28584,0.0094357,0.0094357,0.0094357
59,223.375,0.12862,0.89623,1,0.25627,0.0094258,0.0094258,0.0094258
60,227.051,0.1296,0.95283,1,0.20801,0.0094159,0.0094159,0.0094159
61,230.804,0.15812,0.9434,1,0.14652,0.009406,0.009406,0.009406
62,234.88,0.09801,0.9717,1,0.05105,0.0093961,0.0093961,0.0093961
63,238.534,0.1943,0.93396,1,0.12707,0.0093862,0.0093862,0.0093862
64,242.366,0.10384,0.96226,1,0.15935,0.0093763,0.0093763,0.0093763
65,246.159,0.13606,0.96226,1,0.2004,0.0093664,0.0093664,0.0093664
66,249.862,0.11961,0.96226,1,0.17842,0.0093565,0.0093565,0.0093565
67,253.562,0.13568,0.92453,1,0.2148,0.0093466,0.0093466,0.0093466
68,257.269,0.10891,0.92453,1,0.39243,0.0093367,0.0093367,0.0093367
69,261.029,0.13682,0.90566,1,0.47932,0.0093268,0.0093268,0.0093268
70,264.648,0.11316,0.9434,1,0.2358,0.0093169,0.0093169,0.0093169
71,268.408,0.08683,0.9434,1,0.22382,0.009307,0.009307,0.009307
